Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
PTPN1,0,23,0,3,4,0,0,0,1,64,8,0,0,26,0,0,5,1,0,123,0,106,6.681498285,2.688949838,19.24650913,7.266786541,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.056175799,0.000437396,20,49126891,49201084,621979.2,153,2.44E-06,0.472055,0.05078216,10,56.67568,96.7027,0.8562472,141.7607,21.26885,47.21426,0.000248078,44,2.666666667,0,0
CTXN2,0,98,0,1,0,0,0,0,0,10,1,0,0,3,0,0,0,0,0,113,0,72,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,2.75,0,0
KBTBD6,0,11,0,9,2,1,2,0,0,122,8,0,0,33,0,1,13,1,0,175,0,158,6.681498285,2.688949838,18.26162208,8.400879436,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.028063847,0.000319754,13,41701709,41706936,314264,337,2.58E-06,0.40844,0.06590694,8,52.27027,93.37838,0.9862854,156.0131,21.07541,50.97715,2.54E-05,22,3.852941176,0,0
WDR38,0,12,0,0,2,1,0,0,0,40,2,0,0,17,1,0,2,1,0,72,0,66,6.681498285,2.688949838,20.10216667,7.700439718,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,9,127615755,127620159,1125524,207,2.13E-06,0.51748,0.04107932,11,44.24324,88,0.9211284,111.6656,11.2623,59.96555,0.000152065,24.91374182,2.444444444,0,0
TBL3,0,7,0,2,1,0,1,0,0,101,6,0,0,64,1,0,2,0,0,181,0,148,6.681498285,2.688949838,20.73669755,7.523561956,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.026088149,0.000181399,16,2022064,2028751,1747301,183,2.04E-06,0.58936,0.04588438,46,39.32432,78,0.9893189,104.5115,10.34754,63.01393,7.51E-05,45,1.661538462,0,0
TMEM5,0,1,0,5,3,0,1,0,1,67,10,0,0,27,4,0,4,0,0,115,0,106,6.681498285,2.688949838,17.7619628,8.84862294,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.033519374,0.000161364,12,64173637,64202887,222270.4,460,3.94E-06,0.388235,-0.01678433,4,46.45946,88.83784,0.9257151,105.882,8.613115,38.70357,0,1,2.892857143,0,0
TMEM144,0,8,0,9,3,2,2,0,0,56,5,0,0,16,3,0,6,2,0,96,0,92,6.681498285,2.688949838,17.05230907,9.419960178,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,4,159131401,159176438,135910.6,684,3.94E-06,0.37834,-0.009263803,3,43.2973,93.21622,0.8395346,113.2984,9.347541,36.90161,0.000152065,24.91374182,3.882352941,0,0
INSRR,0,0,0,15,23,3,0,0,3,301,21,0,0,143,6,1,24,3,0,489,0,398,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.975354154,0.054499973,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,3.67E-07,2,2.298611111,0,0
PCSK5,0,11,0,5,5,4,0,0,29,357,31,0,0,157,11,0,5,6,0,599,0,402,6.681498285,2.688949838,16.55493758,9.792790294,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.1031746,0.006738409,9,78505560,78808338,96278.27,886,3.31E-06,0.3944325,-0.02436417,3,50.81081,96.10811,0.8533387,125.118,13.14754,48.42225,6.23E-05,21,2.550632911,0,0
UCN2,0,4,0,0,1,0,0,0,0,12,1,0,0,4,0,0,2,0,0,20,0,21,6.681498285,2.688949838,20.45109336,7.523561956,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.781036859,0.031143746,3,48599151,48601201,1433482,183,1.74E-06,0.53601,0.04095776,22,40.18919,80.40541,0.8875261,19.71475,0,62.87408,0,1,2.6,0,0
